,0
2023-11-28,-109237.0
2023-12-05,-104956.0
2023-12-12,-81131.0
2023-12-19,-64902.0
2023-12-26,-55568.0
2024-01-02,-57195.0
2024-01-09,-55949.0
2024-01-16,-56560.0
2024-01-23,-70645.0
2024-01-30,-80455.0
2024-02-06,-84230.0
2024-02-13,-111536.0
2024-02-20,-120778.0
2024-02-27,-132705.0
2024-03-05,-118843.0
2024-03-12,-102322.0
2024-03-19,-116012.0
2024-03-26,-129106.0
2024-04-02,-143230.0
2024-04-09,-162151.0
2024-04-16,-165619.0
2024-04-23,-179919.0
2024-04-30,-168388.0
2024-05-07,-134922.0
2024-05-14,-126182.0
2024-05-21,-144367.0
2024-05-28,-156039.0
2024-06-04,-132101.0
2024-06-11,-138579.0
2024-06-18,-147753.0
2024-06-25,-173900.0
2024-07-02,-184223.0
2024-07-09,-182033.0
2024-07-16,-151072.0
2024-07-23,-107108.0
2024-07-30,-73460.0
2024-08-06,-11354.0
2024-08-13,23104.0
2024-08-20,23585.0
2024-08-27,25868.0
2024-09-03,41116.0
2024-09-10,55770.0
2024-09-17,56840.0
2024-09-24,66011.0
2024-10-01,56772.0
2024-10-08,36528.0
2024-10-15,34110.0
2024-10-22,12771.0
2024-10-29,-24817.0
2024-11-05,-44167.0
2024-11-12,-64902.0
2024-11-19,-46868.0
2024-11-26,-22633.0
2024-12-03,2334.0
2024-12-10,25752.0
2024-12-17,5961.0
2024-12-24,2311.0
2024-12-31,-8443.0
2025-01-07,-20189.0
2025-01-14,-29411.0
2025-01-21,-14673.0
2025-01-28,-959.0
2025-02-04,18768.0
2025-02-11,54615.0
2025-02-18,60569.0
2025-02-25,95980.0
2025-03-04,133651.0
2025-03-11,133902.0
2025-03-18,122964.0
2025-03-25,125376.0
2025-04-01,121774.0
2025-04-08,147067.0
2025-04-15,171855.0
2025-04-22,177814.0
2025-04-29,179212.0
2025-05-06,176859.0
2025-05-13,172268.0
2025-05-20,167330.0
2025-05-27,164012.0
2025-06-03,151149.0
2025-06-10,144595.0
2025-06-17,130877.0
2025-06-24,132277.0
2025-07-01,127338.0
2025-07-08,116155.0
2025-07-15,103582.0
2025-07-22,106645.0
2025-07-29,89243.0
2025-08-05,82006.0
2025-08-12,74234.0
2025-08-19,77581.0
2025-08-26,84484.0
2025-09-02,73258.0
2025-09-09,91643.0
2025-09-16,61411.0
2025-09-23,79500.0
2025-09-30,61465.0
2025-10-07,46307.0
2025-10-14,37166.0
2025-10-21,70414.0
2025-10-28,68115.0
2025-11-04,51265.0
2025-11-10,48476.0
2025-11-18,31157.0
2025-11-25,26517.0
2025-12-02,36418.0
2025-12-09,17448.0
2025-12-16,-2942.0
2025-12-23,1223.0
2025-12-30,14068.0
