,BAMLH0A0HYM2
2025-09-01,2.84
2025-09-02,2.92
2025-09-03,2.88
2025-09-04,2.84
2025-09-05,2.83
2025-09-08,2.84
2025-09-09,2.87
2025-09-10,2.84
2025-09-11,2.78
2025-09-12,2.79
2025-09-15,2.75
2025-09-16,2.79
2025-09-17,2.79
2025-09-18,2.71
2025-09-19,2.72
2025-09-22,2.69
2025-09-23,2.71
2025-09-24,2.7
2025-09-25,2.76
2025-09-26,2.75
2025-09-29,2.74
2025-09-30,2.8
2025-10-01,2.81
2025-10-02,2.81
2025-10-03,2.8
2025-10-06,2.76
2025-10-07,2.82
2025-10-08,2.84
2025-10-09,2.95
2025-10-10,3.18
2025-10-13,3.18
2025-10-14,3.11
2025-10-15,2.95
2025-10-16,3.04
2025-10-17,3.04
2025-10-20,2.99
2025-10-21,2.97
2025-10-22,3.01
2025-10-23,2.96
2025-10-24,2.88
2025-10-27,2.8
2025-10-28,2.82
2025-10-29,2.76
2025-10-30,2.85
2025-10-31,2.94
2025-11-03,3.04
2025-11-04,3.13
2025-11-05,3.05
2025-11-06,3.13
2025-11-07,3.15
2025-11-10,3.02
2025-11-11,3.02
2025-11-12,3.02
2025-11-13,3.09
2025-11-14,3.07
2025-11-17,3.13
2025-11-18,3.2
2025-11-19,3.17
2025-11-20,3.17
2025-11-21,3.19
2025-11-24,3.15
2025-11-25,3.1
2025-11-26,3.0
2025-11-27,3.0
2025-11-28,2.95
2025-11-30,2.92
2025-12-01,2.94
2025-12-02,2.92
2025-12-03,2.89
2025-12-04,2.88
2025-12-05,2.85
2025-12-08,2.89
2025-12-09,2.89
2025-12-10,2.91
2025-12-11,2.88
2025-12-12,2.91
2025-12-15,2.91
2025-12-16,2.98
2025-12-17,2.99
2025-12-18,2.95
2025-12-19,2.9
2025-12-22,2.88
2025-12-23,2.83
2025-12-24,2.84
2025-12-26,2.86
2025-12-29,2.87
2025-12-30,2.84
2025-12-31,2.81
2026-01-02,2.83
2026-01-05,2.81
2026-01-06,2.79
2026-01-07,2.79
2026-01-08,2.76
2026-01-09,2.74
2026-01-12,2.74
2026-01-13,2.75
2026-01-14,2.76
2026-01-15,2.71
2026-01-16,2.65
2026-01-19,2.65
2026-01-20,2.73
2026-01-21,2.69
2026-01-22,2.64
2026-01-23,2.68
2026-01-26,2.69
2026-01-27,2.71
2026-01-28,2.72
2026-01-29,2.77
2026-01-30,2.8
2026-01-31,2.88
2026-02-02,2.81
2026-02-03,2.85
2026-02-04,2.86
2026-02-05,2.97
2026-02-06,2.87
2026-02-09,2.84
2026-02-10,2.86
2026-02-11,2.84
2026-02-12,2.92
2026-02-13,2.95
2026-02-16,2.94
2026-02-17,2.94
2026-02-18,2.86
2026-02-19,2.88
2026-02-20,2.86
2026-02-23,2.95
2026-02-24,2.97
2026-02-25,2.94
2026-02-26,2.98
2026-02-27,3.1
2026-02-28,3.12
2026-03-02,3.03
2026-03-03,3.08
2026-03-04,2.97
2026-03-05,3.0
2026-03-06,3.13
2026-03-09,3.19
2026-03-10,3.06
2026-03-11,3.09
2026-03-12,3.17
2026-03-13,3.28
2026-03-16,3.27
2026-03-17,3.22
2026-03-18,3.2
2026-03-19,3.27
2026-03-20,3.24
2026-03-23,3.19
2026-03-24,3.19
2026-03-25,3.17
2026-03-26,3.21
2026-03-27,3.42
2026-03-30,3.46
2026-03-31,3.28
2026-04-01,3.16
2026-04-02,3.17
2026-04-03,3.13
2026-04-06,3.05
2026-04-07,3.12
2026-04-08,2.94
2026-04-09,2.9
2026-04-10,2.94
2026-04-13,2.95
2026-04-14,2.84
2026-04-15,2.85
2026-04-16,2.86
2026-04-17,2.83
2026-04-20,2.87
2026-04-21,2.85
2026-04-22,2.84
2026-04-23,2.86
2026-04-24,2.86
2026-04-27,2.84
2026-04-28,2.85
2026-04-29,2.82
2026-04-30,2.83
